user_id,exp_group,ctr
131314,2,0.17
115376,3,0.11
2444,3,0.18
115202,3,0.21
123757,3,0.2
23762,2,0.14
115558,3,0.16
123401,3,0.15
10549,3,0.18
2138,3,0.31
2706,3,0.33
112031,2,0.19
2592,3,0.14
123073,3,0.15
24090,2,0.24
24232,2,0.14
123159,3,0.25
14395,2,0.15
6958,2,0.12
107665,3,0.26
126861,3,0.35
1502,3,0.07
118352,3,0.27
112809,2,0.14
117912,3,0.32
113023,2,0.26
21406,2,0.19
122718,2,0.34
130609,2,0.23
109423,3,0.15
16782,3,0.18
16700,3,0.12
122504,2,0.19
24887,3,0.16
16618,3,0.32
25421,3,0.17
6094,2,0.3
121920,2,0.13
17396,3,0.23
14199,2,0.19
9433,2,0.17
10101,2,0.19
9745,2,0.33
9891,2,0.25
1996,2,0.12
122592,3,0.23
109265,2,0.06
16432,2,0.16
109319,2,0.0
17198,2,0.16
109007,2,0.12
16970,2,0.25
25153,2,0.17
13947,3,0.17
123603,2,0.2
2390,2,0.13
123653,2,0.11
2532,2,0.18
131112,3,0.23
115060,2,0.2
122907,2,0.15
111941,3,0.5
19892,2,0.16
119766,3,0.19
127673,3,0.2
19554,2,0.14
119296,3,0.13
127855,3,0.29
6982,3,0.31
127399,3,0.19
19992,2,0.22
117686,2,0.19
21506,3,0.12
124945,2,0.24
17676,2,0.18
121710,3,0.19
17626,2,0.19
129893,3,0.23
120944,3,0.17
109811,2,0.1
17938,2,0.18
129225,3,0.17
4648,3,0.15
109975,2,0.24
116352,2,0.22
116708,2,0.15
111573,3,0.14
116566,2,0.14
23374,3,0.21
116126,2,0.2
123971,2,0.17
116012,2,0.22
3746,2,0.22
110877,3,0.27
4038,2,0.42
11803,2,0.3
7524,3,0.16
120718,3,0.17
107455,2,0.19
15837,3,0.3
106949,2,0.25
19236,2,0.19
16149,3,0.12
7802,3,0.23
106515,2,0.27
16067,3,0.34
128511,3,0.43
116620,3,0.13
124497,3,0.26
11743,3,0.08
22584,2,0.33
111321,2,0.13
115858,3,0.14
11891,3,0.33
110755,2,0.18
124057,3,0.28
116214,3,0.22
12055,3,0.22
116036,3,0.14
3704,3,0.21
15797,2,0.15
19098,3,0.28
18984,3,0.17
19454,3,0.41
21720,2,0.46
114671,2,0.19
117726,3,0.37
9029,3,0.17
22032,2,0.2
121552,2,0.17
17764,3,0.17
12629,2,0.17
4232,2,0.36
129641,2,0.14
25785,3,0.27
26225,3,0.35
121212,2,0.12
8750,3,0.32
113918,2,0.22
125202,3,0.16
125046,3,0.23
114514,2,0.28
117713,3,0.2
21605,2,0.19
125914,3,0.19
117255,3,0.1
393,3,0.25
21719,2,0.2
129052,2,0.21
109890,3,0.23
13088,2,0.26
129748,2,0.22
110172,3,0.21
116217,3,0.2
12056,3,0.09
111048,2,0.12
110764,2,0.16
23117,2,0.19
4001,3,0.33
124808,3,0.17
22583,2,0.27
11728,3,0.19
23009,2,0.14
22867,2,0.18
19441,3,0.22
7855,2,0.33
8057,2,0.15
120055,2,0.21
119877,2,0.12
120461,2,0.21
120809,2,0.14
7271,2,0.33
3963,2,0.32
124314,2,0.17
132613,3,0.31
23191,3,0.35
23539,3,0.36
116003,2,0.19
124158,2,0.14
11704,2,0.17
124470,2,0.22
124548,2,0.18
3173,2,0.31
124896,2,0.26
11530,2,0.22
11374,2,0.07
11484,2,0.12
124754,2,0.25
116285,2,0.53
106872,2,0.19
128148,3,0.22
106954,2,0.19
120627,3,0.19
107266,2,0.2
18915,2,0.27
128824,3,0.2
7641,3,0.18
124958,2,0.3
114162,3,0.17
8994,2,0.19
8774,2,0.19
809,2,0.11
22213,3,0.2
21517,3,0.31
117469,2,0.2
133165,3,0.16
114490,3,0.45
125540,2,0.27
8536,2,0.26
13306,3,0.28
109866,2,0.3
4647,3,0.22
25864,2,0.41
12516,3,0.24
110132,2,0.14
121697,3,0.22
4189,3,0.35
121811,3,0.23
17667,2,0.15
110562,2,0.15
122402,2,0.27
129724,3,0.3
109075,3,0.14
16448,3,0.13
109509,3,0.21
122694,2,0.22
130601,2,0.46
108991,3,0.34
17246,3,0.26
130273,2,0.21
130131,2,0.31
17032,3,0.21
121944,2,0.14
130359,2,0.36
122090,2,0.39
16954,3,0.16
25429,3,0.24
118522,3,0.27
126869,3,0.19
118686,3,0.19
20814,2,0.2
21300,2,0.31
126091,3,0.27
118102,3,0.12
118244,3,0.31
21218,2,0.23
112817,2,0.27
14481,2,0.2
15083,2,0.28
118794,2,0.16
118968,2,0.21
127155,2,0.25
20236,3,0.22
20414,3,0.12
119150,2,0.19
123555,3,0.18
10655,3,0.2
23982,2,0.23
10491,3,0.35
123847,3,0.24
123151,3,0.0
24066,2,0.21
111843,2,0.24
115126,3,0.23
127941,3,0.2
19884,2,0.42
127195,3,0.26
107909,2,0.28
20146,2,0.14
23714,3,0.17
2556,2,0.19
131202,3,0.31
23568,3,0.21
115620,2,0.28
131558,3,0.12
10743,2,0.13
24334,3,0.28
122883,2,0.31
123349,2,0.19
5138,3,0.29
13775,3,0.16
122616,3,0.33
25487,2,0.15
121904,3,0.21
17120,2,0.25
130541,3,0.16
16978,2,0.17
122196,3,0.27
1144,2,0.37
20774,3,0.27
113525,3,0.17
1226,2,0.17
9637,2,0.17
9409,2,0.28
113315,3,0.15
9331,2,0.21
118418,2,0.31
112747,3,0.2
9915,2,0.3
126343,2,0.33
21340,3,0.16
118156,2,0.28
10093,2,0.21
112911,3,0.14
130100,3,0.26
14088,3,0.19
25394,2,0.5
5891,3,0.16
121997,3,0.18
13334,3,0.18
24904,2,0.18
16533,2,0.28
25082,2,0.27
109172,2,0.52
13760,3,0.32
24734,2,0.27
16707,2,0.13
122771,3,0.22
130812,3,0.19
21473,3,0.38
10192,2,0.27
20557,3,0.17
118319,2,0.27
126784,2,0.2
118603,2,0.06
20777,3,0.24
19983,2,0.16
14738,3,0.23
127516,3,0.13
6397,3,0.14
6223,3,0.27
14404,3,0.14
19655,2,0.15
11138,2,0.1
131873,3,0.46
24009,3,0.16
115407,2,0.47
15232,2,0.13
107856,3,0.25
119251,2,0.23
127164,2,0.21
14934,2,0.28
15076,2,0.27
127338,2,0.27
19631,3,0.17
127604,2,0.18
24425,2,0.16
111852,2,0.34
123848,3,0.12
131301,2,0.3
115569,3,0.31
131457,2,0.14
16949,3,0.17
130442,2,0.18
13828,2,0.18
130360,2,0.17
25576,3,0.21
108646,3,0.25
25228,3,0.31
122163,2,0.22
130140,2,0.12
25150,3,0.22
122697,2,0.29
16463,3,0.28
109230,3,0.23
109084,3,0.25
24978,3,0.33
24864,3,0.44
126290,3,0.2
112652,2,0.17
126084,3,0.19
118563,3,0.27
20979,2,0.12
113348,2,0.29
118343,3,0.14
16060,2,0.21
16234,2,0.17
18835,3,0.36
107378,3,0.15
18679,3,0.22
120469,2,0.18
4025,3,0.33
116193,3,0.22
12210,3,0.17
23427,2,0.27
110946,2,0.2
3093,3,0.24
116635,3,0.21
116521,3,0.26
3239,3,0.18
116301,3,0.38
22685,2,0.16
110056,3,0.21
18363,3,0.22
121195,2,0.23
18029,3,0.18
4603,2,0.53
129818,2,0.19
17431,3,0.21
110482,3,0.25
25628,3,0.38
117171,3,0.23
114050,2,0.23
116837,3,0.07
113748,2,0.5
113894,2,0.22
125368,3,0.08
114332,2,0.19
114680,2,0.32
8602,3,0.14
109952,2,0.15
13282,3,0.32
121721,3,0.13
17613,2,0.11
17535,2,0.13
125282,2,0.47
22237,3,0.16
22127,3,0.17
117211,2,0.43
128140,3,0.18
16130,3,0.24
15974,3,0.21
120619,3,0.3
15818,3,0.14
116261,2,0.33
22773,3,0.2
22819,3,0.16
3279,2,0.25
132355,3,0.22
120612,3,0.23
128761,3,0.16
19032,2,0.23
15977,3,0.21
16091,3,0.14
19342,2,0.16
7778,3,0.5
11695,2,0.19
116558,2,0.12
116732,2,0.18
124919,2,0.22
4062,2,0.13
110853,3,0.16
23524,3,0.19
116102,2,0.15
110225,2,0.29
121362,3,0.17
129917,3,0.31
17830,2,0.27
12581,3,0.33
121796,3,0.22
110581,2,0.27
26469,2,0.22
18104,2,0.22
5094,3,0.28
129287,3,0.38
117532,2,0.22
117678,2,0.17
117094,2,0.15
124937,2,0.25
117204,2,0.24
116912,2,0.24
12799,2,0.12
4130,2,0.12
25619,3,0.24
121544,2,0.29
129813,2,0.38
17578,3,0.2
110155,3,0.3
120832,2,0.22
18182,3,0.22
13111,2,0.14
125901,3,0.21
117410,3,0.28
116952,3,0.21
8761,3,0.27
113755,2,0.09
8843,3,0.14
9199,3,0.24
562,3,0.24
18506,3,0.23
18844,3,0.2
18734,3,0.28
120830,2,0.16
19430,3,0.18
128317,2,0.23
106595,3,0.16
116464,3,0.27
22674,2,0.26
11427,3,0.16
22852,2,0.35
116060,3,0.32
132894,2,0.36
124389,3,0.26
110601,2,0.3
14095,3,0.17
122204,3,0.09
130391,3,0.23
25085,2,0.16
16530,2,0.32
13475,3,0.17
130861,3,0.18
122772,3,0.25
1720,2,0.17
126041,2,0.14
2012,2,0.08
112849,3,0.5
117984,2,0.17
126351,2,0.21
9339,2,0.19
9503,2,0.16
127415,3,0.36
107753,2,0.27
127187,3,0.25
119054,3,0.21
15343,3,0.33
6784,3,0.2
19648,2,0.28
119458,3,0.14
10977,2,0.3
24500,3,0.3
115628,2,0.21
131566,3,0.2
112431,3,0.3
115322,2,0.23
112377,3,0.18
2374,2,0.21
115400,2,0.21
119416,2,0.25
123143,3,0.2
10889,3,0.15
3046,3,0.38
123317,3,0.15
123773,3,0.23
23746,2,0.21
123563,3,0.24
6110,2,0.41
121936,2,0.2
17024,3,0.27
130445,2,0.12
5640,2,0.06
17380,3,0.14
130139,2,0.27
16684,3,0.31
130707,2,0.32
122702,2,0.53
130593,2,0.14
109439,3,0.25
122520,2,0.21
21226,2,0.23
21308,2,0.36
126001,3,0.23
1048,3,0.35
9669,3,0.14
113347,2,0.28
5547,2,0.29
16629,3,0.12
24652,3,0.12
17241,3,0.15
122093,2,0.18
5987,2,0.15
130434,2,0.23
13836,2,0.17
108654,3,0.18
121951,2,0.29
126014,3,0.38
118097,3,0.14
1759,3,0.21
21299,2,0.21
1645,3,0.18
9986,3,0.13
112644,2,0.29
127612,2,0.3
108322,3,0.24
127914,2,0.26
108102,3,0.24
7043,2,0.23
15084,2,0.28
20189,3,0.28
127156,2,0.38
123414,3,0.36
115577,3,0.19
115659,3,0.23
10538,3,0.19
23679,2,0.11
10492,3,0.25
123762,3,0.17
115229,3,0.2
123322,3,0.18
131735,2,0.13
111702,2,0.22
131905,2,0.29
2623,3,0.23
108536,2,0.33
19737,2,0.09
119753,3,0.24
119041,3,0.16
15186,3,0.17
127196,3,0.19
107750,2,0.26
115399,2,0.23
23575,3,0.26
115317,2,0.13
10736,2,0.29
112416,3,0.25
23923,3,0.15
115161,2,0.15
111756,3,0.15
114703,2,0.32
24726,2,0.23
109336,2,0.15
130804,3,0.21
109482,2,0.26
130960,3,0.18
25402,2,0.27
130392,3,0.17
130108,3,0.42
108898,2,0.3
17283,2,0.07
17201,2,0.32
109008,2,0.33
25324,2,0.64
118769,2,0.4
20769,3,0.29
113174,3,0.41
9742,2,0.19
112748,3,0.25
21481,3,0.29
126180,2,0.11
15728,3,0.14
120721,3,0.18
120611,3,0.32
26780,2,0.15
119869,3,0.29
19181,2,0.28
128480,3,0.14
7937,3,0.25
120299,3,0.26
7781,3,0.15
106970,2,0.42
15982,3,0.16
19259,2,0.1
132363,3,0.21
22937,3,0.04
116269,2,0.31
23093,3,0.17
116097,2,0.41
12242,2,0.25
121365,3,0.21
25880,2,0.15
4173,3,0.27
25724,2,0.44
129566,3,0.15
129124,3,0.33
18111,2,0.18
12860,3,0.2
4947,3,0.18
125712,2,0.18
21533,3,0.25
117673,2,0.14
114584,3,0.12
21881,3,0.23
125556,2,0.17
125116,2,0.17
116741,2,0.16
116919,2,0.33
113798,3,0.22
4133,2,0.26
121625,2,0.29
110334,3,0.25
18135,3,0.21
26552,3,0.2
13030,2,0.1
121013,2,0.15
18021,3,0.21
109700,3,0.4
13104,2,0.31
121297,2,0.21
121187,2,0.13
114672,2,0.14
21923,2,0.22
117619,3,0.16
8594,3,0.27
125468,3,0.2
106313,2,0.28
21703,2,0.09
21621,2,0.11
8766,3,0.18
9192,3,0.06
7585,2,0.17
107464,3,0.11
7365,2,0.2
120651,2,0.39
19425,3,0.26
7871,2,0.08
8041,2,0.22
116293,3,0.18
124824,3,0.21
116471,3,0.2
11712,3,0.26
15881,2,0.17
19082,3,0.17
106941,3,0.14
7370,2,0.22
7598,2,0.12
107025,3,0.22
11985,3,0.25
12213,3,0.24
124041,3,0.2
23038,2,0.26
11727,3,0.26
129201,2,0.13
121018,2,0.26
109625,3,0.21
12435,2,0.24
17862,3,0.16
110485,3,0.33
17780,3,0.29
25627,3,0.38
125147,3,0.16
570,3,0.27
22372,2,0.18
22016,2,0.22
113747,2,0.12
292,3,0.16
117628,3,0.23
242,3,0.26
8495,3,0.16
18096,2,0.18
12703,3,0.18
17692,2,0.3
129699,3,0.14
4390,3,0.15
110233,2,0.19
22462,3,0.1
124929,2,0.19
114157,3,0.33
117524,2,0.2
21878,3,0.21
114419,3,0.18
117360,2,0.16
19334,2,0.19
7786,3,0.21
119936,3,0.12
106499,2,0.35
8124,3,0.2
18584,2,0.17
7184,3,0.2
115946,2,0.34
23098,3,0.15
23176,3,0.19
115800,2,0.35
11961,2,0.16
116368,2,0.17
115199,2,0.2
24039,3,0.32
2059,2,0.21
131527,3,0.23
115425,2,0.12
123708,2,0.65
107712,2,0.28
7117,3,0.26
127048,3,0.19
107940,2,0.19
108396,2,0.26
6355,3,0.25
14780,3,0.27
127616,3,0.23
14606,3,0.42
14442,3,0.17
112942,3,0.17
126064,2,0.38
1571,2,0.0
9882,2,0.24
9298,2,0.08
9604,2,0.21
20743,3,0.27
25208,2,0.36
16393,2,0.17
5605,3,0.27
13806,3,0.2
109374,2,0.16
16749,2,0.21
1155,3,0.3
113550,2,0.25
1365,3,0.35
20665,2,0.39
9352,3,0.16
130468,2,0.22
13976,2,0.23
121977,2,0.26
14158,2,0.19
13392,2,0.23
131038,2,0.25
122371,2,0.14
130924,2,0.27
131943,2,0.42
24565,2,0.18
123128,3,0.14
10770,3,0.19
115095,3,0.14
24209,2,0.32
112312,2,0.18
10458,3,0.18
115259,3,0.27
123440,3,0.19
119119,2,0.38
20383,3,0.12
107980,3,0.23
127122,2,0.19
15132,2,0.2
6771,2,0.2
119293,2,0.14
15050,2,0.31
118827,2,0.15
7077,2,0.27
14338,2,0.22
108128,3,0.19
6153,2,0.43
123455,3,0.33
115536,3,0.18
23936,2,0.19
131190,2,0.14
123881,3,0.19
131268,2,0.13
123283,3,0.27
108473,3,0.18
119688,2,0.17
119610,2,0.3
127793,2,0.12
6608,2,0.14
127481,2,0.29
6780,2,0.21
15123,2,0.18
126907,3,0.19
118704,3,0.07
20832,2,0.2
118530,3,0.23
21274,2,0.21
113147,2,0.18
126117,3,0.36
126323,3,0.29
9981,3,0.11
5506,2,0.27
122842,2,0.14
16650,3,0.23
130329,2,0.24
130475,2,0.19
13861,2,0.2
25467,3,0.19
113499,3,0.22
20922,3,0.16
126817,2,0.27
9455,2,0.09
20702,3,0.0
126931,2,0.23
126235,2,0.23
1864,2,0.0
21362,3,0.21
126157,2,0.25
118032,2,0.18
21440,3,0.15
16848,2,0.15
24767,2,0.16
25051,2,0.17
121886,3,0.31
25363,2,0.23
131102,3,0.2
115438,2,0.19
131244,3,0.18
131528,3,0.17
10951,2,0.22
2842,2,0.2
108497,2,0.1
119776,3,0.15
127631,3,0.18
14771,3,0.29
119194,3,0.31
127047,3,0.2
119038,3,0.22
114389,3,0.17
125753,2,0.15
114435,3,0.27
125679,2,0.22
22314,3,0.54
17502,2,0.24
129669,3,0.25
17722,2,0.16
4780,3,0.18
5064,3,0.06
22786,3,0.15
124605,2,0.2
116690,2,0.2
116406,2,0.19
132496,3,0.08
11493,2,0.18
132166,3,0.11
23068,3,0.27
124177,2,0.19
4080,2,0.2
3732,2,0.31
3622,2,0.25
18792,2,0.22
128727,3,0.2
7506,3,0.21
107245,2,0.12
128769,3,0.19
19062,2,0.18
7976,3,0.19
106533,2,0.23
16163,3,0.29
11327,3,0.18
22716,2,0.29
132142,2,0.16
11405,3,0.19
116488,3,0.17
111499,2,0.2
3124,3,0.13
11611,3,0.17
23458,2,0.23
12179,3,0.18
120500,2,0.2
18532,3,0.36
107063,3,0.18
15591,2,0.06
120784,2,0.23
120088,2,0.28
120234,2,0.13
106907,3,0.23
119932,2,0.32
19116,3,0.17
125493,3,0.21
117310,3,0.17
8415,3,0.33
125227,3,0.25
9153,3,0.3
114083,2,0.12
9075,3,0.29
129773,2,0.21
121574,2,0.14
12469,2,0.0
120988,2,0.24
129345,2,0.15
129061,2,0.23
18216,3,0.18
125170,3,0.18
114092,2,0.2
116811,3,0.25
22171,2,0.21
887,3,0.3
117379,3,0.15
21587,2,0.38
114646,2,0.18
114532,2,0.46
129176,2,0.08
129066,2,0.19
18161,3,0.05
129532,2,0.2
110296,3,0.19
12652,2,0.26
4273,2,0.2
129616,2,0.1
3649,3,0.23
111492,2,0.21
124520,3,0.16
116487,3,0.11
3565,3,0.5
22529,2,0.12
15904,2,0.14
106900,3,0.24
7723,2,0.32
120229,2,0.4
120799,2,0.27
15678,2,0.16
7249,2,0.3
18703,3,0.08
12102,2,0.35
3625,2,0.2
124026,2,0.28
110656,3,0.17
115907,2,0.39
132737,3,0.37
22747,3,0.18
124594,2,0.27
22797,3,0.17
19229,2,0.2
7921,3,0.21
19375,2,0.2
15944,3,0.22
120417,3,0.23
15488,3,0.25
18901,2,0.23
8898,2,0.32
113824,3,0.27
125082,2,0.22
22423,3,0.17
124968,2,0.3
9126,2,0.32
114622,3,0.21
21855,3,0.17
117063,2,0.46
8668,2,0.12
117565,2,0.14
125522,2,0.14
8202,2,0.18
26614,2,0.1
4981,3,0.31
121133,3,0.22
110438,2,0.17
110082,2,0.34
10678,3,0.29
2265,3,0.24
23943,2,0.26
115251,3,0.23
123174,3,0.23
10920,3,0.2
111900,2,0.24
114989,3,0.22
2723,3,0.03
122946,3,0.16
115103,3,0.18
131951,2,0.24
119613,2,0.14
6323,2,0.19
19807,3,0.17
127876,2,0.25
6615,2,0.23
15124,2,0.2
107972,3,0.19
113378,2,0.26
20949,2,0.11
113460,2,0.21
126570,3,0.17
118711,3,0.17
113542,2,0.12
118221,3,0.19
21113,2,0.3
24838,3,0.23
122553,2,0.23
122379,2,0.28
16653,3,0.27
122133,2,0.17
130476,2,0.16
5965,2,0.21
16915,3,0.21
113290,3,0.18
1333,2,0.22
126932,2,0.19
126822,2,0.23
9448,2,0.22
20697,3,0.19
126382,2,0.19
112934,3,0.21
113044,3,0.17
122631,3,0.21
122577,3,0.14
130828,3,0.35
130500,3,0.31
108698,2,0.25
14072,3,0.18
17325,2,0.16
25282,2,0.28
25200,2,0.29
131243,3,0.17
112398,3,0.23
24047,3,0.17
131535,3,0.29
11172,2,0.11
123032,2,0.15
112070,3,0.16
111778,3,0.27
131793,3,0.53
114721,2,0.31
119637,3,0.14
19767,2,0.2
127040,3,0.23
6817,3,0.26
24360,3,0.24
24474,3,0.16
115586,2,0.26
115504,2,0.25
10705,2,0.08
23606,3,0.16
115430,2,0.16
7032,3,0.35
119030,3,0.19
6830,3,0.28
20464,2,0.12
108505,2,0.16
19768,2,0.36
14779,3,0.23
127541,3,0.24
108221,2,0.3
113051,3,0.18
126227,2,0.24
21164,3,0.14
21022,3,0.31
9775,2,0.24
1856,2,0.17
126825,2,0.14
9447,2,0.1
9301,2,0.14
122226,3,0.16
130425,3,0.21
17094,2,0.2
16572,2,0.19
25043,2,0.2
130993,3,0.22
16398,2,0.23
24929,2,0.32
16746,2,0.28
130773,3,0.21
5172,3,0.17
21408,2,0.21
10129,3,0.18
118712,3,0.29
9707,3,0.14
1156,3,0.17
118538,3,0.44
20670,2,0.29
118382,3,0.21
9277,3,0.09
16924,3,0.18
25459,3,0.24
109539,3,0.25
130749,2,0.16
24799,3,0.38
16596,3,0.2
131033,2,0.6
114978,3,0.13
11203,3,0.19
131936,2,0.2
111735,2,0.33
24214,2,0.27
114932,3,0.18
131198,2,0.28
23788,2,0.17
10351,3,0.26
115690,3,0.19
131496,2,0.18
23944,2,0.16
131354,2,0.24
6772,2,0.1
20376,3,0.09
107549,3,0.25
118942,2,0.17
14519,2,0.2
19508,3,0.25
119524,2,0.18
119680,2,0.21
19792,3,0.21
19938,3,0.18
22062,2,0.18
962,3,0.34
125219,3,0.26
8293,3,0.33
125931,3,0.21
114183,2,0.25
117302,3,0.2
125785,3,0.16
133392,2,0.07
18322,3,0.37
12917,2,0.05
26521,3,0.19
4278,2,0.14
121656,2,0.18
110523,3,0.33
25653,3,0.28
12651,2,0.26
3984,3,0.44
23320,2,0.16
12073,3,0.19
116480,3,0.16
3214,3,0.21
124637,3,0.15
3416,3,0.08
132134,2,0.2
16195,2,0.18
107355,3,0.22
128517,2,0.24
128695,2,0.22
18540,3,0.33
15453,2,0.18
15599,2,0.29
23408,3,0.33
12097,2,0.45
3914,2,0.29
124331,2,0.23
110837,3,0.3
110663,3,0.29
22748,3,0.31
124423,2,0.29
116584,2,0.24
7926,3,0.27
19368,2,0.22
128165,3,0.21
19070,2,0.2
16125,3,0.24
8082,3,0.21
128955,3,0.15
120422,3,0.17
18614,2,0.22
18898,2,0.23
7230,3,0.16
125433,2,0.31
22306,3,0.2
125671,2,0.15
117484,2,0.25
8205,2,0.13
21564,3,0.23
109773,2,0.26
17964,2,0.21
129313,3,0.21
18078,2,0.18
26261,2,0.22
13177,3,0.1
4318,3,0.17
121826,3,0.18
121478,3,0.2
25995,2,0.17
121396,3,0.2
12501,3,0.33
8368,2,0.19
8550,2,0.17
21847,3,0.17
22317,3,0.25
627,2,0.16
125252,2,0.27
125430,2,0.27
4533,3,0.16
12506,3,0.24
17643,2,0.34
121837,3,0.2
17725,2,0.32
5071,3,0.32
121075,3,0.18
